ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
6301;09/08/2018 23:04;DESPACHADO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 23,21;R$ 103,11
6299;09/08/2018 22:59;DESPACHADO;MOIP CC 1x;Mobile;2;R$ 159,80;R$ 0,00;R$ 30,08;R$ 189,88
6298;09/08/2018 22:28;DESPACHADO;MOIP CC 1x;Mobile;1;R$ 69,90;R$ 0,00;R$ 20,82;R$ 90,72
6297;09/08/2018 21:18;DESPACHADO;MOIP CC 3x;Desktop;4;R$ 309,60;R$ 0,00;R$ 21,00;R$ 330,60
6296;09/08/2018 17:06;ENTREGUE;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 13,15;R$ 93,05
6295;09/08/2018 16:55;DESPACHADO;MOIP CC 2x;Mobile;2;R$ 149,80;R$ 0,00;R$ 47,38;R$ 197,18
6294;09/08/2018 13:24;DESPACHADO;MOIP CC 6x;Mobile;2;R$ 159,80;R$ 0,00;R$ 23,21;R$ 183,01
6293;09/08/2018 12:38;ATENDIDO;MOIP CC 4x;Desktop;1;R$ 79,90;R$ 0,00;R$ 0,00;R$ 79,90
6291;08/08/2018 15:18;ENTREGUE;MOIP CC 6x;Mobile;1;R$ 79,90;R$ 0,00;R$ 38,23;R$ 118,13
6290;08/08/2018 13:47;ENTREGUE;MOIP Boleto;Desktop;4;R$ 299,60;R$ 0,00;R$ 38,23;R$ 337,83
6289;08/08/2018 13:30;ENTREGUE;MOIP CC 1x;Desktop;1;R$ 79,90;R$ 0,00;R$ 49,58;R$ 129,48
6288;08/08/2018 13:25;ENTREGUE;MOIP CC 2x;Desktop;1;R$ 199,90;R$ 0,00;R$ 18,79;R$ 218,69
6287;08/08/2018 11:58;ATENDIDO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 79,90;R$ 0,00;R$ 0,00
6286;08/08/2018 11:54;ENTREGUE;MOIP CC 6x;Desktop;3;R$ 229,70;R$ 0,00;R$ 16,33;R$ 246,03
6285;08/08/2018 11:25;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 30,08;R$ 99,98
6284;08/08/2018 09:09;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 38,23;R$ 108,13
6283;08/08/2018 08:36;DESPACHADO;MOIP Boleto;Desktop;1;R$ 79,90;R$ 0,00;R$ 24,47;R$ 104,37
6281;08/08/2018 00:06;DESPACHADO;MOIP CC 2x;Desktop;1;R$ 79,90;R$ 0,00;R$ 18,79;R$ 98,69
6280;07/08/2018 23:06;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 89,80;R$ 0,00;R$ 38,23;R$ 128,03
6279;07/08/2018 22:49;ENTREGUE;MOIP CC 2x;Desktop;2;R$ 139,80;R$ 0,00;R$ 21,00;R$ 160,80
6278;07/08/2018 15:49;ENTREGUE;MOIP Boleto;Mobile;6;R$ 459,40;R$ 0,00;R$ 25,15;R$ 484,55
6277;07/08/2018 14:30;DESPACHADO;MOIP Boleto;Desktop;2;R$ 159,80;R$ 0,00;R$ 23,21;R$ 183,01
6276;07/08/2018 14:24;ENTREGUE;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 26,99;R$ 96,89
