ID;Data;Status;Pagamento;Dispositivo;Produtos;SubTotal;Descontos;Frete;Valor
6022;08/07/2018 09:52;APROVADO CRÉDITO;MOIP CC 4x;Mobile;4;R$ 307,60;R$ 0,00;R$ 64,75;R$ 372,35
6019;06/07/2018 12:22;APROVADO CRÉDITO;MOIP CC 1x;Desktop;1;R$ 79,90;R$ 0,00;R$ 16,92;R$ 96,82
6018;06/07/2018 12:09;APROVADO CRÉDITO;MOIP CC 6x;Mobile;2;R$ 119,80;R$ 0,00;R$ 18,79;R$ 138,59
6012;05/07/2018 22:48;DESPACHADO;MOIP CC 5x;Mobile;5;R$ 359,50;R$ 0,00;R$ 67,03;R$ 426,53
6009;05/07/2018 16:57;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 13,15;R$ 83,05
6005;05/07/2018 11:39;DESPACHADO;MOIP CC 2x;Desktop;2;R$ 89,80;R$ 0,00;R$ 30,08;R$ 119,88
6003;04/07/2018 23:21;DESPACHADO;MOIP CC 5x;Desktop;3;R$ 239,70;R$ 0,00;R$ 24,47;R$ 264,17
6002;04/07/2018 20:47;DESPACHADO;MOIP CC 4x;Mobile;2;R$ 159,80;R$ 0,00;R$ 21,00;R$ 180,80
6001;04/07/2018 19:40;DESPACHADO;MOIP CC 3x;Mobile;1;R$ 87,90;R$ 0,00;R$ 20,82;R$ 108,72
6000;04/07/2018 15:46;DESPACHADO;MOIP Boleto;Mobile;1;R$ 69,90;R$ 0,00;R$ 18,79;R$ 88,69
5999;04/07/2018 15:28;APROVADO CRÉDITO;MOIP Boleto;Desktop;1;R$ 39,90;R$ 0,00;R$ 30,08;R$ 69,98
5997;04/07/2018 12:48;APROVADO CRÉDITO;MOIP Boleto;Desktop;2;R$ 109,80;R$ 0,00;R$ 38,23;R$ 148,03
5996;04/07/2018 11:40;DESPACHADO;MOIP CC 3x;Desktop;1;R$ 69,90;R$ 0,00;R$ 16,92;R$ 86,82
5995;04/07/2018 08:36;DESPACHADO;MOIP Boleto;Desktop;4;R$ 249,60;R$ 0,00;R$ 21,00;R$ 270,60
5994;04/07/2018 07:57;DESPACHADO;MOIP Boleto;Desktop;1;R$ 69,90;R$ 0,00;R$ 23,21;R$ 93,11
5993;03/07/2018 19:46;DESPACHADO;MOIP CC 2x;Mobile;1;R$ 69,90;R$ 0,00;R$ 30,08;R$ 99,98
5992;03/07/2018 12:20;APROVADO CRÉDITO;MOIP Boleto;Desktop;2;R$ 149,80;R$ 0,00;R$ 16,92;R$ 166,72
5991;03/07/2018 06:38;DESPACHADO;MOIP Boleto;Mobile;2;R$ 69,80;R$ 0,00;R$ 23,21;R$ 93,01
5990;02/07/2018 15:25;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 149,80;R$ 0,00;R$ 16,92;R$ 166,72
5988;30/06/2018 15:55;ENTREGUE;MOIP CC 1x;Desktop;2;R$ 149,80;R$ 0,00;R$ 21,00;R$ 170,80
